Fecha,Ciudad,Nombre,Apellido,Género,Producto
2020-01-01,Medellin,Visitación,Folch,Femenino,Variado
2020-01-01,Medellin,Olga,Coloma,Femenino,Bandeja fresas
2020-01-01,La Estrella,Fanny,Ferrero,Femenino,Variado
2020-01-01,Itagui,Gabino,Alegre,Masculino,Liviano
2020-01-01,Copacabana,Nereida,Dalmau,Femenino,Bizcopizza
2020-01-01,San Antonio de Prado,Marta,Arana,Femenino,Liviano
2020-01-01,Itagui,Eva,Salazar,Femenino,Variado
2020-01-01,Medellin,Magdalena,Angulo,Femenino,Sánduche
2020-01-01,San Antonio de Prado,Reynaldo,Ayuso,Masculino,Sánduche
2020-01-01,Medellin,Maristela,Montero,Femenino,Bizcopizza
2020-01-01,Sabaneta,Ale,Bas,Femenino,Bizcopizza
2020-01-01,Caldas,Baudelio,Cobo,Masculino,Variado
2020-01-01,Envigado,María Dolores,Vila,Femenino,Variado
2020-01-01,Bello,Moisés,Gámez,Masculino,Fuerte
2020-01-01,La Estrella,Adalberto,Huguet,Masculino,Liviano
2020-01-01,Sabaneta,Sonia,Torrens,Femenino,Completo
2020-01-31,Itagui,Teo,Cerezo,Masculino,Sánduche
2020-01-31,Medellin,Sebastián,Colomer,Masculino,Sánduche
2020-01-31,Medellin,Dorita,Donoso,Femenino,V gomas
2020-01-31,Sabaneta,Maxi,Perelló,Femenino,Bizcopizza
2020-01-31,La Estrella,Mariana,Rivero,Femenino,Liviano
2020-01-31,Itagui,Jose Manuel,Silva,Masculino,Waffle
2020-01-31,Itagui,Pili,Alcolea,Femenino,Sánduche
2020-01-31,Medellin,Isaura,Martin,Femenino,Virtuosa
2020-01-31,San Antonio de Prado,Pancho,Ibarra,Masculino,Sánduche
2020-01-31,Medellin,Alejandro,Ruiz,Masculino,Sánduche
2020-01-31,Envigado,Domingo,Figueroa,Masculino,Completo
2020-01-31,Itagui,Fito,Sola,Masculino,Bizcopizza
2020-01-31,Sabaneta,Benita,Alsina,Femenino,Virtuosa
2020-01-31,La Estrella,Clara,Lastra,Femenino,Sánduche
2020-01-31,Bello,Felisa,Cañas,Femenino,Cupcakes
2020-01-31,Envigado,Merche,Lledó,Femenino,Bandeja fresas
2020-01-31,Caldas,Corona,Tomás,Femenino,V fresas
2020-01-31,Sabaneta,Carlota,Rojas,Femenino,Sánduche
2020-01-31,Itagui,Herminio,Nadal,Masculino,Fuerte
2020-01-31,Bello,Manola,Cervera,Femenino,Sánduche
2020-01-31,Bello,Matilde,Vallejo,Femenino,Waffle
2020-01-31,Bello,Modesto,Nicolau,Masculino,Sánduche
2020-01-31,Medellin,María Pilar,Boix,Femenino,Sánduche
2020-01-31,San Antonio de Prado,Nicolasa,Comas,Femenino,Sánduche
2020-01-31,Medellin,Artemio,Cervantes,Masculino,Mini gomas
2020-01-31,Bello,Reinaldo,Múgica,Masculino,Variado
2020-01-31,Medellin,Gabriela,Lago,Femenino,Liviano
2020-01-31,La Estrella,Bárbara,Hervia,Femenino,Waffle
2020-01-31,Medellin,Aránzazu,Villalobos,Femenino,Sánduche
2020-01-31,Envigado,Patricia,Moraleda,Femenino,Bizcopizza
2020-01-31,Sabaneta,Carmina,Suárez,Femenino,Completo
2020-01-31,Medellin,Eusebia,Cabeza,Femenino,Completo
2020-01-31,Medellin,Albino,Guitart,Masculino,Sánduche
2020-03-01,San Antonio de Prado,Jose Antonio,Quevedo,Masculino,Variado
2020-03-01,Bello,Ligia,España,Femenino,Choco candy
2020-03-01,Copacabana,Marcela,Sacristán,Femenino,Waffle
2020-03-01,Bello,Almudena,Valderrama,Femenino,Bandeja frutas
2020-03-01,Medellin,Gabriela,Araujo,Femenino,V gomas
2020-03-01,San Antonio de Prado,Sarita,Ferrándiz,Femenino,Mini gomas
2020-03-01,Copacabana,Amílcar,Bernal,Masculino,Fuerte
2020-03-01,Medellin,Aitana,Beltrán,Femenino,Sánduche
2020-03-01,Sabaneta,Yésica,Alcaraz,Femenino,Completo
2020-03-01,Bello,María Pilar,Quevedo,Femenino,Tradicional
2020-03-01,Envigado,Victorino,Arjona,Masculino,Completo
2020-03-01,Envigado,Calixta,Menendez,Femenino,Kit de emergencia
2020-03-01,Medellin,Chucho,Goicoechea,Masculino,Virtuosa
2020-03-01,Medellin,Bautista,Heredia,Masculino,Tradicional
2020-03-01,San Antonio de Prado,Ester,Peñalver,Femenino,Choco box
2020-03-01,Medellin,Irene,Casares,Femenino,Completo
2020-03-01,La Estrella,Cosme,Romero,Masculino,Cupcakes
2020-03-01,Bello,Eloísa,Alemany,Femenino,Liviano
2020-03-01,La Estrella,Trinidad,Gimeno,Femenino,Sánduche
2020-03-01,Bello,Borja,Rius,Masculino,Bizcopizza
2020-03-01,Medellin,Sandra,Expósito,Femenino,Fuerte
2020-03-01,Medellin,Jessica,Cervera,Femenino,Virtuosa
2020-03-01,Sabaneta,Íñigo,Enríquez,Masculino,Bizcopizza
2020-03-01,Envigado,Chema,Tamayo,Masculino,Completo
2020-03-01,Envigado,María Ángeles,Pinto,Femenino,Mini gomas
2020-03-01,Medellin,Belen,Quero,Femenino,Kit de emergencia
2020-03-01,Medellin,África,Azcona,Femenino,Virtuosa
2020-03-01,La Estrella,Alonso,Espada,Masculino,Waffle
2020-03-01,Medellin,Alondra,Chico,Femenino,Variado
2020-03-01,Envigado,Cleto,Leal,Masculino,Sánduche
2020-03-01,Itagui,Claudia,Alegria,Femenino,Liviano
2020-03-01,Medellin,Armida,Delgado,Femenino,Completo
2020-03-01,San Antonio de Prado,Alba,Plana,Femenino,Virtuosa
2020-03-01,Caldas,Loida,Reina,Femenino,Bandeja fresas
2020-03-01,Bello,Eligia,Reguera,Femenino,Waffle
2020-03-01,Envigado,Lucila,Rovira,Femenino,Fuerte
2020-03-01,Medellin,Yéssica,Mayoral,Femenino,Cerv box
2020-03-01,San Antonio de Prado,Felisa,Narváez,Femenino,Super Box
2020-03-01,Medellin,Tecla,Sierra,Femenino,Sánduche
2020-03-01,Bello,Susanita,Noriega,Femenino,Variado
2020-03-01,Medellin,Goyo,Prat,Masculino,Completo
2020-03-01,Sabaneta,Emilia,Montes,Femenino,Tradicional
2020-03-01,La Estrella,María,Bonilla,Masculino,Choco box
2020-03-01,La Estrella,Yaiza,Villalobos,Femenino,Premium
2020-03-01,Medellin,Sebastián,Goñi,Masculino,Cerv box
2020-03-01,Medellin,Graciela,Aguilera,Femenino,Completo
2020-03-31,Bello,Estela,Mena,Femenino,Completo
2020-03-31,Bello,Manuela,Amorós,Femenino,Completo
2020-03-31,Medellin,Luis Miguel,Hidalgo,Masculino,Sánduche
2020-03-31,Envigado,Joel,Carnero,Masculino,Bizcopizza
2020-03-31,Medellin,Dora,Pozo,Femenino,Kit de emergencia
2020-03-31,Medellin,Lidia,Beltran,Femenino,Mini gomas
2020-03-31,Medellin,Octavio,Pozuelo,Masculino,Completo
2020-03-31,Medellin,Jose Antonio,Quero,Masculino,Tradicional
2020-03-31,La Estrella,Catalina,Bernad,Femenino,Waffle
2020-03-31,Itagui,Celia,Fabregat,Femenino,Bandeja frutas
2020-03-31,La Estrella,Nicodemo,Herrera,Masculino,Bizcopizza
2020-03-31,Envigado,Silvia,Escamilla,Femenino,Sánduche
2020-03-31,Itagui,Griselda,Cabrero,Femenino,Sánduche
2020-03-31,La Estrella,Valero,Gallego,Masculino,Virtuosa
2020-03-31,Bello,Roberto,Conde,Masculino,Virtuosa
2020-03-31,Sabaneta,Carlito,Bonilla,Masculino,Bandeja fresas
2020-03-31,Medellin,Emiliana,Aguilera,Femenino,Sánduche
2020-03-31,Sabaneta,Lorenzo,Folch,Masculino,Choco box
2020-03-31,Sabaneta,Florina,Mercader,Femenino,Completo
2020-03-31,Envigado,Regina,Prats,Femenino,Waffle
2020-03-31,Itagui,Berta,Tejada,Femenino,Mecatera
2020-03-31,Envigado,Marta,Roura,Femenino,Waffle
2020-03-31,San Antonio de Prado,Mayte,Llorente,Femenino,Sánduche
2020-03-31,Itagui,Cruz,Peñas,Masculino,Sánduche
2020-03-31,Medellin,Tito,Navarrete,Masculino,Variado
2020-03-31,Sabaneta,Román,Reyes,Masculino,Premium
2020-03-31,Medellin,Micaela,Camps,Femenino,Sánduche
2020-03-31,Bello,Emelina,Mesa,Femenino,Completo
2020-03-31,Medellin,Candelas,Piquer,Femenino,Waffle
2020-03-31,Medellin,Marcos,Torre,Masculino,Liviano
2020-03-31,San Antonio de Prado,Rogelio,Ramos,Masculino,Completo
2020-03-31,Medellin,Viviana,Sánchez,Femenino,Bizcopizza
2020-03-31,Sabaneta,Hortensia,Campo,Femenino,Premium
2020-03-31,Bello,Calista,Gordillo,Femenino,Completo
2020-03-31,Bello,Hortensia,Iriarte,Femenino,Completo
2020-03-31,Medellin,Concha,Cuadrado,Femenino,Sánduche
2020-03-31,Copacabana,María Teresa,Porras,Femenino,V gomas
2020-03-31,Envigado,Carlos,Mariscal,Masculino,Sánduche
2020-03-31,Medellin,Vicenta,Álvaro,Femenino,Waffle
2020-03-31,Bello,Ximena,Serra,Femenino,Variado
2020-03-31,Envigado,Gerardo,Lara,Masculino,Fuerte
2020-03-31,Medellin,Leticia,Rocha,Femenino,Super Box
2020-03-31,Medellin,Ofelia,Palomar,Femenino,Completo
2020-03-31,San Antonio de Prado,Pascuala,Miralles,Femenino,Choco box
2020-03-31,San Antonio de Prado,Balduino,Azorin,Masculino,Completo
2020-03-31,Medellin,Gabriela,Baena,Femenino,Sánduche
2020-03-31,Sabaneta,Felicidad,Gómez,Femenino,Sánduche
2020-03-31,Sabaneta,Úrsula,Pino,Femenino,Bizcopizza
2020-03-31,Medellin,Marina,Olivares,Femenino,Choco candy
2020-03-31,San Antonio de Prado,Estefanía,Gallego,Femenino,Sánduche
2020-03-31,San Antonio de Prado,Olimpia,Gaya,Femenino,Sánduche
2020-03-31,Sabaneta,Dani,Jáuregui,Masculino,Tradicional
2020-03-31,Medellin,Daniela,Juárez,Femenino,Choco box
2020-03-31,Copacabana,Dulce,Gordillo,Femenino,Virtuosa
2020-03-31,San Antonio de Prado,Carmelita,Solana,Femenino,Bizcopizza
2020-03-31,Bello,Eutimio,Marti,Masculino,Variado
2020-03-31,Medellin,Agustina,Miró,Femenino,Completo
2020-04-30,Medellin,Graciela,Luz,Femenino,Completo
2020-04-30,Medellin,Pastora,Valentín,Femenino,Liviano
2020-04-30,Copacabana,Jessica,Muro,Femenino,Kit de emergencia
2020-04-30,Copacabana,Jorge,Galán,Masculino,Variado
2020-04-30,Sabaneta,Encarnacion,Roldan,Femenino,Sánduche
2020-04-30,Medellin,Jenny,Serna,Femenino,Bizcopizza
2020-04-30,Medellin,Joaquina,Bosch,Femenino,Bizcopizza
2020-04-30,Medellin,Ximena,Téllez,Femenino,Variado
2020-04-30,La Estrella,Lupe,Julián,Masculino,Sánduche
2020-04-30,Copacabana,Zaida,Garzón,Femenino,Liviano
2020-04-30,Itagui,Telmo,López,Masculino,Virtuosa
2020-04-30,Copacabana,Jacobo,Martín,Masculino,Variado
2020-04-30,Medellin,Cecilio,Ropero,Masculino,Tradicional
2020-04-30,Copacabana,Aitana,Sales,Femenino,Tradicional
2020-04-30,Sabaneta,Aníbal,Espinosa,Masculino,Sánduche
2020-04-30,Sabaneta,Bibiana,Sarabia,Femenino,Bizcopizza
2020-04-30,Medellin,Pía,Rivera,Femenino,Sánduche
2020-04-30,Bello,Visitación,Murcia,Femenino,Completo
2020-04-30,San Antonio de Prado,Tadeo,Alberto,Masculino,Variado
2020-04-30,Bello,María,Borja,Femenino,Kit de emergencia
2020-04-30,Medellin,María Fernanda,Morales,Femenino,Variado
2020-04-30,Medellin,Osvaldo,Busquets,Masculino,Sánduche
2020-04-30,Envigado,Estefanía,Escobar,Femenino,Premium
2020-04-30,La Estrella,Crescencia,Huguet,Femenino,Sánduche
2020-04-30,Medellin,Dorita,Calderón,Femenino,Variado
2020-04-30,Medellin,Juanita,Lopez,Femenino,Variado
2020-04-30,Medellin,Ramón,Franco,Masculino,Waffle
2020-04-30,San Antonio de Prado,Pepe,Fabra,Masculino,Sánduche
2020-04-30,La Estrella,Bienvenida,Bolaños,Femenino,Cupcakes
2020-04-30,Bello,Mirta,Coello,Femenino,V gomas
2020-04-30,Itagui,Gabriel,Agullo,Masculino,Waffle
2020-04-30,Medellin,Diana,Valenciano,Femenino,Fuerte
2020-04-30,Envigado,Cruz,Vila,Masculino,Liviano
2020-04-30,Medellin,Sol,Pinedo,Femenino,Virtuosa
2020-04-30,Bello,Josefa,Portero,Femenino,Completo
2020-04-30,La Estrella,Santiago,Ibáñez,Masculino,Cerv box
2020-04-30,Envigado,Ignacia,Guitart,Femenino,V fresas
2020-04-30,Bello,Sandra,Sarmiento,Femenino,Choco box
2020-04-30,Medellin,Carmina,Matas,Femenino,Bandeja fresas
2020-04-30,Caldas,Josefa,Cañellas,Femenino,Virtuosa
2020-04-30,Itagui,Lupita,Huerta,Femenino,Premium
2020-04-30,Copacabana,Berto,Uribe,Masculino,Tradicional
2020-04-30,Sabaneta,Dora,Gargallo,Femenino,Variado
2020-04-30,Envigado,Reina,Marí,Femenino,Sánduche
2020-04-30,Envigado,Jacinto,Calzada,Masculino,Variado
2020-04-30,La Estrella,Guiomar,Granados,Femenino,Sánduche
2020-04-30,La Estrella,Maura,Aguirre,Femenino,Premium
2020-04-30,La Estrella,Guiomar,Alfonso,Femenino,Bizcopizza
2020-04-30,San Antonio de Prado,Tania,Roca,Femenino,Sánduche
2020-04-30,Copacabana,Maximino,Lucena,Masculino,Sánduche
2020-04-30,Itagui,Dorotea,Arnal,Femenino,Sánduche
2020-04-30,La Estrella,Montserrat,Peiró,Femenino,Mini gomas
2020-04-30,Itagui,Rómulo,Vaquero,Masculino,Tradicional
2020-04-30,Itagui,Telmo,Mir,Masculino,V fresas
2020-04-30,Envigado,Natalia,Diaz,Femenino,Liviano
2020-04-30,Itagui,Filomena,Cueto,Femenino,Variado
2020-04-30,Sabaneta,Eligio,Yáñez,Masculino,Sánduche
2020-04-30,La Estrella,Marisol,Mir,Femenino,V gomas
2020-04-30,Bello,Jose Ignacio,Arteaga,Masculino,Bizcopizza
2020-04-30,Sabaneta,Máxima,Carnero,Femenino,Fuerte
2020-04-30,San Antonio de Prado,Natividad,Español,Femenino,Sánduche
2020-04-30,Medellin,Leticia,Bustos,Femenino,Waffle
2020-04-30,Envigado,Lorenzo,Llopis,Masculino,Sánduche
2020-04-30,Medellin,Sofía,Lobato,Femenino,Variado
2020-04-30,Bello,Berta,Alcalá,Femenino,Liviano
2020-04-30,Medellin,Venceslás,Escribano,Masculino,Virtuosa
2020-04-30,Medellin,Emilio,Navarrete,Masculino,Variado
2020-04-30,Caldas,Rosaura,Anguita,Femenino,Sánduche
2020-04-30,Bello,Candelas,Cazorla,Femenino,V fresas
2020-04-30,Caldas,Cristian,Prat,Masculino,Liviano
2020-04-30,San Antonio de Prado,Odalis,Cortina,Femenino,Bizcopizza
2020-04-30,Envigado,Remedios,Serrano,Femenino,Variado
2020-04-30,Sabaneta,Cayetana,Mariño,Femenino,Cupcakes
2020-04-30,Bello,Pepita,Pineda,Femenino,Sánduche
2020-04-30,Medellin,Susana,Aragón,Femenino,Variado
2020-04-30,Medellin,Visitación,Reig,Femenino,Completo
2020-05-30,Itagui,Candelas,Planas,Femenino,Sánduche
2020-05-30,Caldas,Charo,Núñez,Femenino,Variado
2020-05-30,Medellin,Javi,Bustamante,Masculino,Virtuosa
2020-05-30,La Estrella,Diego,Egea,Masculino,Completo
2020-05-30,Medellin,Angelita,Moliner,Femenino,Virtuosa
2020-05-30,Caldas,Juan José,Adadia,Masculino,Variado
2020-05-30,Medellin,Lucho,Vigil,Masculino,Completo
2020-05-30,Medellin,Inés,Cadenas,Femenino,Premium
2020-05-30,Itagui,Araceli,Vilaplana,Femenino,Completo
2020-05-30,Bello,Javiera,Oliver,Femenino,Completo
2020-05-30,Envigado,Liliana,Vall,Femenino,Variado
2020-05-30,La Estrella,Amelia,Cadenas,Femenino,Variado
2020-05-30,Envigado,Loreto,Chico,Femenino,Variado
2020-05-30,Bello,Javiera,Cazorla,Femenino,Completo
2020-05-30,Itagui,Bernardo,Palomar,Masculino,Tradicional
2020-05-30,Envigado,Estela,Goicoechea,Femenino,Variado
2020-05-30,Medellin,Encarnacion,Baró,Femenino,Sánduche
2020-05-30,Medellin,Casemiro,Aguiló,Masculino,Fuerte
2020-05-30,Medellin,Jacinto,Villa,Masculino,Sánduche
2020-05-30,Medellin,Lupe,Robles,Femenino,Premium
2020-05-30,Envigado,Calixto,Hierro,Masculino,Sánduche
2020-05-30,Sabaneta,Esther,Alfaro,Femenino,Tradicional
2020-05-30,San Antonio de Prado,Candelaria,Osuna,Femenino,Variado
2020-05-30,Medellin,Íngrid,Gras,Femenino,Choco candy
2020-05-30,Sabaneta,Jose Manuel,Montenegro,Masculino,Sánduche
2020-05-30,Bello,Rosario,Prieto,Femenino,Choco box
2020-05-30,Medellin,Anunciación,Alberto,Femenino,V fresas
2020-05-30,Medellin,Aura,Ariza,Femenino,Variado
